,
date edited,Changelog
2024-01-22 00:00:00,Added Aernasis Hammer section to Content Keys
,Altered the Table of Contents
,
2024-01-18 00:00:00,Edited sets column in Builds to be better understandable (?)
,Added names for characters in Tier List
,Reorder Tier List
,
2024-01-11 00:00:00,Edited Tier List vastly to reflect meta
,
2024-01-10 00:00:00,Added Raid 14 Content Keys
,
2024-01-08 00:00:00,Added Hyperlinks to content (usually underline)
,Added World Boss to Content Keys
,EQUIPMENT has been added
,Finished the Builds Section
